Cycle,Date,Workout Type,Workout Plan,Sets and Weights,Pacing,Interval Peak HR,Notes,Training Minutes,Cardio Minutes,Total Run Miles,Total Bike Miles,Total Row Ks,Total Ski Ks
1,3/2/24,Interval Row,"2k warmup
5x60s w/60s rest
2k cooldown",,"143.8, 141.6, 140.3, 140.3, 137.7",,,25,20,,,5.49,
1,3/2/24,Aerobic Run,5 miles easy,,7:55,,Avg HR: 131,40,40,5.04,,,
1,3/3/24,Full Body Strength,"Goblet Squat
DB Arnold Press
DB Reverse Lunges
Resistance Pushups
DB bicep curls
DB tricep extensions","4x8: 40s, 50s, 50s, 50s
4x8: 40s, 45s, 45a, 45s
4x8: 40s, 40s, 45s, 45s
4x20: red band
4x8: 30s, 35s, 35a, 35s
4x8: 25s, 25s, 25s, 25s",,,,45,,,,,
1,3/3/24,Aerobic Run,50 min easy,,8:00,,Avg HR: 133,50,50,6.33,,,
1,3/4/24,Aerobic Ski,30 min,,,,"35 s/m
1:58.3/500",30,30,,,,7.61
1,3/4/24,Aerobic Row,20 min,,,,"22 s/m
2:03.6/500",20,20,,,4.85,
1,3/5/24,Interval Run,20x400m w/55-60second rest,,"6:00, 6:00, 6:00, 6:00,
5:56, 5:56, 5:53, 5:53,
5:53, 5:50, 5:50, 5:46,
5:46, 5:46, 5:43, 5:43,
5:43, 5:40, 5:40, 5:37","141, 141, 147, 145,
148, 151, 152, 152,
155, 157, 156, 157,
159, 161, 160, 162,
161, 163, 165, 163",Felt amazing,60,55,5.75,,,
1,3/5/24,Interval Ski,10x60s w/60s rest,,"146.0, 143.0, 142.0, 142.0, 142.7, 142.3, 142.3, 142.7,142.7, 138.3",,Completed 30 min after run session,20,20,,,,3.00
1,3/6/24,Aerobic Run,45 min easy,,8:04,,Avg HR: 132,45,45,5.54,,,
1,3/6/24,Upper Body Strength,"DB rows
DB bent over lateral raise
DB 90 degree lateral raise
DB shoulder press
DB seated bicep curls
Ab roller
DB bent over tri ext
Side v-ups
Pushups","4x20: 50s
4x8: 35s, 35s, 40s, 40s
4x8: 25s
4x8: 50s
4x8: 30s
4x15:
4x8: 25s
4x12:
4x20:",,,,40,,,,,
